fecha;tipo_transporte;num_usuarios;tiempo_viaje_promedio_min;origen;destino
27/01/2020;Tranvía;3306;36;Ezmeral Valley ; Simplivity Springs
28/01/2020;Coche Compartido;1224;52;Aruba Central ; Alletra City
29/01/2020;Bicicleta;3992;20;GreenLake Shores ; Nimble Peak
30/01/2020;Taxi;1237;24;GreenLake Shores ; Alletra City
31/01/2020;Bicicleta;1290;35;Apollo Heights ; Ezmeral Valley
01/02/2020;Metro;1736;56;Ezmeral Valley ; Nimble Peak
02/02/2020;Tranvía;1744;54;Simplivity Springs ; Apollo Heights
03/02/2020;Metro;1751;41;GreenLake Shores ; Alletra City
04/02/2020;Autobús;1381;44;Composable Cloud ; GreenLake Shores
05/02/2020;Tranvía;3073;22;Nimble Peak ; ProLiant Village
06/02/2020;Bicicleta;2385;21;Composable Cloud ; Nimble Peak
07/02/2020;Tranvía;2695;57;Ezmeral Valley ; Alletra City
08/02/2020;Tranvía;351;34;GreenLake Shores ; Apollo Heights
09/02/2020;Metro;1570;41;Apollo Heights ; Aruba Central
10/02/2020;Tranvía;1260;25;HPE Innovation Hub ; Composable Cloud
11/02/2020;Taxi;5164;29;GreenLake Shores ; Apollo Heights
12/02/2020;Taxi;3358;55;HPE Innovation Hub ; GreenLake Shores
13/02/2020;Tranvía;1047;21;Nimble Peak ; HPE Innovation Hub
14/02/2020;Tranvía;2717;41;ProLiant Village ; Apollo Heights
15/02/2020;Coche Compartido;1191;28;HPE Innovation Hub ; Composable Cloud
16/02/2020;Coche Compartido;3204;56;Aruba Central ; ProLiant Village
17/02/2020;Tranvía;3875;11;Composable Cloud ; Alletra City
18/02/2020;Bicicleta;1318;24;Alletra City ; Ezmeral Valley
19/02/2020;Autobús;962;47;Alletra City ; Simplivity Springs
20/02/2020;Tranvía;630;39;HPE Innovation Hub ; Nimble Peak
21/02/2020;Coche Compartido;751;19;HPE Innovation Hub ; Nimble Peak
22/02/2020;Taxi;2598;28;ProLiant Village ; Composable Cloud
23/02/2020;Taxi;1264;52;ProLiant Village ; HPE Innovation Hub
24/02/2020;Metro;966;34;Aruba Central ; GreenLake Shores
25/02/2020;Bicicleta;5666;55;Alletra City ; Ezmeral Valley
26/02/2020;Metro;924;10;Nimble Peak ; Ezmeral Valley
27/02/2020;Coche Compartido;3714;11;ProLiant Village ; Aruba Central
28/02/2020;Taxi;2623;52;Nimble Peak ; Aruba Central
29/02/2020;Coche Compartido;2225;36;ProLiant Village ; Alletra City
01/03/2020;Bicicleta;1691;46;Aruba Central ; ProLiant Village
02/03/2020;Coche Compartido;2253;18;ProLiant Village ; Apollo Heights
03/03/2020;Autobús;3849;43;Aruba Central ; Ezmeral Valley
04/03/2020;Metro;2139;32;ProLiant Village ; Ezmeral Valley
05/03/2020;Bicicleta;1461;27;Simplivity Springs ; Nimble Peak
06/03/2020;Taxi;2499;19;Alletra City ; GreenLake Shores
07/03/2020;Tranvía;1458;13;Aruba Central ; GreenLake Shores
08/03/2020;Metro;448;13;Alletra City ; Nimble Peak
09/03/2020;Bicicleta;952;54;Aruba Central ; Alletra City
10/03/2020;Tranvía;1960;26;ProLiant Village ; Ezmeral Valley
11/03/2020;Metro;4226;16;Simplivity Springs ; ProLiant Village
12/03/2020;Bicicleta;2873;26;Aruba Central ; Apollo Heights
13/03/2020;Taxi;2089;60;Simplivity Springs ; Nimble Peak
14/03/2020;Taxi;749;55;Composable Cloud ; GreenLake Shores
15/03/2020;Autobús;1957;58;Apollo Heights ; Alletra City
16/03/2020;Autobús;4426;45;GreenLake Shores ; Nimble Peak
17/03/2020;Taxi;2830;24;Alletra City ; Nimble Peak
18/03/2020;Taxi;2008;24;GreenLake Shores ; Alletra City
19/03/2020;Coche Compartido;3285;40;Simplivity Springs ; GreenLake Shores
20/03/2020;Metro;2961;16;Ezmeral Valley ; Alletra City
21/03/2020;Coche Compartido;3181;57;HPE Innovation Hub ; Apollo Heights
22/03/2020;Bicicleta;1336;35;Apollo Heights ; Aruba Central
23/03/2020;Metro;1362;50;Apollo Heights ; Composable Cloud
24/03/2020;Metro;4778;21;HPE Innovation Hub ; Composable Cloud
25/03/2020;Autobús;3700;58;Simplivity Springs ; HPE Innovation Hub
26/03/2020;Taxi;2250;46;GreenLake Shores ; Ezmeral Valley
27/03/2020;Metro;4913;59;Alletra City ; Aruba Central
28/03/2020;Bicicleta;1022;58;Alletra City ; Composable Cloud
29/03/2020;Tranvía;484;26;ProLiant Village ; HPE Innovation Hub
30/03/2020;Tranvía;2275;28;GreenLake Shores ; Ezmeral Valley
31/03/2020;Taxi;3216;21;Alletra City ; Composable Cloud
01/04/2020;Autobús;2262;13;Alletra City ; GreenLake Shores
02/04/2020;Bicicleta;1309;12;Ezmeral Valley ; GreenLake Shores
03/04/2020;Tranvía;1808;16;HPE Innovation Hub ; ProLiant Village
04/04/2020;Coche Compartido;2209;54;Simplivity Springs ; HPE Innovation Hub
05/04/2020;Taxi;1906;11;Aruba Central ; GreenLake Shores
06/04/2020;Autobús;2652;44;Apollo Heights ; Nimble Peak
07/04/2020;Metro;2136;51;ProLiant Village ; Nimble Peak
08/04/2020;Tranvía;1926;33;Nimble Peak ; Apollo Heights
09/04/2020;Taxi;2716;35;Composable Cloud ; Apollo Heights
10/04/2020;Coche Compartido;1814;44;Aruba Central ; HPE Innovation Hub
11/04/2020;Tranvía;1546;40;ProLiant Village ; Apollo Heights
12/04/2020;Metro;1767;47;Composable Cloud ; Simplivity Springs
13/04/2020;Bicicleta;1063;11;Aruba Central ; Composable Cloud
14/04/2020;Metro;2925;59;Apollo Heights ; Simplivity Springs
15/04/2020;Tranvía;3665;15;Apollo Heights ; Ezmeral Valley
16/04/2020;Bicicleta;4609;11;GreenLake Shores ; Composable Cloud
17/04/2020;Metro;2539;54;Nimble Peak ; HPE Innovation Hub
18/04/2020;Autobús;793;30;Ezmeral Valley ; Alletra City
19/04/2020;Tranvía;990;13;Ezmeral Valley ; Composable Cloud
20/04/2020;Tranvía;1791;27;Apollo Heights ; Simplivity Springs
21/04/2020;Bicicleta;910;34;GreenLake Shores ; Nimble Peak
22/04/2020;Metro;4766;23;Apollo Heights ; Composable Cloud
23/04/2020;Coche Compartido;1364;30;Nimble Peak ; Composable Cloud
24/04/2020;Tranvía;2905;48;ProLiant Village ; Simplivity Springs
25/04/2020;Bicicleta;1705;50;Alletra City ; HPE Innovation Hub
26/04/2020;Tranvía;2663;42;Apollo Heights ; HPE Innovation Hub
27/04/2020;Coche Compartido;1301;25;GreenLake Shores ; Ezmeral Valley
28/04/2020;Autobús;5362;25;Composable Cloud ; Ezmeral Valley
29/04/2020;Coche Compartido;3690;56;Composable Cloud ; HPE Innovation Hub
30/04/2020;Coche Compartido;3294;48;ProLiant Village ; HPE Innovation Hub
01/05/2020;Bicicleta;3992;32;Simplivity Springs ; Nimble Peak
02/05/2020;Tranvía;1330;49;Apollo Heights ; Aruba Central
03/05/2020;Taxi;1291;40;GreenLake Shores ; Ezmeral Valley
04/05/2020;Tranvía;2885;19;Apollo Heights ; Ezmeral Valley
05/05/2020;Metro;1323;36;Alletra City ; Apollo Heights
06/05/2020;Bicicleta;3759;45;Alletra City ; GreenLake Shores
07/05/2020;Bicicleta;4463;28;Alletra City ; Ezmeral Valley
08/05/2020;Coche Compartido;1558;55;Simplivity Springs ; Aruba Central
09/05/2020;Bicicleta;669;53;ProLiant Village ; Composable Cloud
10/05/2020;Coche Compartido;1931;51;ProLiant Village ; HPE Innovation Hub
11/05/2020;Taxi;1872;34;Composable Cloud ; GreenLake Shores
12/05/2020;Tranvía;2914;11;Apollo Heights ; Simplivity Springs
13/05/2020;Coche Compartido;4814;49;Aruba Central ; Apollo Heights
14/05/2020;Taxi;1163;11;Nimble Peak ; Ezmeral Valley
15/05/2020;Autobús;2566;26;Simplivity Springs ; ProLiant Village
16/05/2020;Coche Compartido;556;14;Apollo Heights ; Alletra City
17/05/2020;Metro;1399;24;Simplivity Springs ; GreenLake Shores
18/05/2020;Coche Compartido;2524;20;Alletra City ; Apollo Heights
19/05/2020;Bicicleta;1194;43;HPE Innovation Hub ; Nimble Peak
20/05/2020;Metro;4798;30;Alletra City ; HPE Innovation Hub
21/05/2020;Taxi;4309;29;Aruba Central ; Nimble Peak
22/05/2020;Metro;3813;19;Aruba Central ; Nimble Peak
23/05/2020;Bicicleta;1517;14;Alletra City ; Aruba Central
24/05/2020;Metro;2060;18;ProLiant Village ; Simplivity Springs
25/05/2020;Coche Compartido;3150;41;Alletra City ; HPE Innovation Hub
26/05/2020;Coche Compartido;1363;54;HPE Innovation Hub ; Simplivity Springs
27/05/2020;Bicicleta;2725;28;ProLiant Village ; GreenLake Shores
28/05/2020;Taxi;2499;11;Composable Cloud ; GreenLake Shores
29/05/2020;Tranvía;3486;59;GreenLake Shores ; Nimble Peak
30/05/2020;Taxi;566;13;GreenLake Shores ; Simplivity Springs
31/05/2020;Autobús;2778;55;Alletra City ; Aruba Central
01/06/2020;Tranvía;1148;21;GreenLake Shores ; Composable Cloud
02/06/2020;Tranvía;3328;55;Simplivity Springs ; HPE Innovation Hub
03/06/2020;Metro;1826;60;Nimble Peak ; GreenLake Shores
04/06/2020;Autobús;3082;58;ProLiant Village ; Simplivity Springs
05/06/2020;Bicicleta;1765;53;HPE Innovation Hub ; GreenLake Shores
06/06/2020;Coche Compartido;1805;36;Ezmeral Valley ; Simplivity Springs
07/06/2020;Autobús;1359;40;Ezmeral Valley ; GreenLake Shores
08/06/2020;Taxi;961;12;Alletra City ; Apollo Heights
09/06/2020;Bicicleta;1783;25;Ezmeral Valley ; Alletra City
10/06/2020;Autobús;1603;37;Aruba Central ; Ezmeral Valley
11/06/2020;Autobús;2860;43;Composable Cloud ; Apollo Heights
12/06/2020;Coche Compartido;3526;38;Simplivity Springs ; Nimble Peak
13/06/2020;Tranvía;1041;51;Apollo Heights ; Aruba Central
14/06/2020;Bicicleta;785;12;Simplivity Springs ; Aruba Central
15/06/2020;Autobús;2230;60;Composable Cloud ; Simplivity Springs
16/06/2020;Bicicleta;2365;33;HPE Innovation Hub ; GreenLake Shores
17/06/2020;Taxi;1344;13;Ezmeral Valley ; Apollo Heights
18/06/2020;Coche Compartido;5158;17;ProLiant Village ; HPE Innovation Hub
19/06/2020;Taxi;3833;28;Nimble Peak ; Composable Cloud
20/06/2020;Metro;1721;20;Ezmeral Valley ; Apollo Heights
21/06/2020;Bicicleta;1788;50;Nimble Peak ; HPE Innovation Hub
22/06/2020;Taxi;807;52;Ezmeral Valley ; Aruba Central
23/06/2020;Taxi;4921;25;GreenLake Shores ; Apollo Heights
24/06/2020;Autobús;3327;48;Nimble Peak ; Apollo Heights
25/06/2020;Tranvía;5728;43;HPE Innovation Hub ; Alletra City
26/06/2020;Tranvía;1102;31;ProLiant Village ; Alletra City
27/06/2020;Autobús;1571;52;ProLiant Village ; Apollo Heights
28/06/2020;Tranvía;2480;51;ProLiant Village ; GreenLake Shores
29/06/2020;Taxi;4964;34;Nimble Peak ; Apollo Heights
30/06/2020;Autobús;2313;37;Simplivity Springs ; Alletra City
01/07/2020;Autobús;1288;18;GreenLake Shores ; ProLiant Village
02/07/2020;Taxi;4159;21;Nimble Peak ; Composable Cloud
03/07/2020;Metro;3599;10;Composable Cloud ; GreenLake Shores
04/07/2020;Taxi;1982;21;GreenLake Shores ; Nimble Peak
05/07/2020;Coche Compartido;2174;27;GreenLake Shores ; Nimble Peak
06/07/2020;Taxi;5959;44;Composable Cloud ; Ezmeral Valley
07/07/2020;Taxi;4809;52;Nimble Peak ; Apollo Heights
08/07/2020;Metro;5095;10;Nimble Peak ; HPE Innovation Hub
09/07/2020;Taxi;1986;35;Simplivity Springs ; Aruba Central
10/07/2020;Autobús;2988;15;Simplivity Springs ; Apollo Heights
11/07/2020;Metro;470;19;Aruba Central ; Nimble Peak
12/07/2020;Coche Compartido;2237;46;Ezmeral Valley ; Alletra City
13/07/2020;Metro;3953;41;ProLiant Village ; Nimble Peak
14/07/2020;Tranvía;3681;28;ProLiant Village ; GreenLake Shores
15/07/2020;Autobús;1331;33;Alletra City ; Ezmeral Valley
16/07/2020;Bicicleta;1006;32;Apollo Heights ; Composable Cloud
17/07/2020;Taxi;1438;37;Simplivity Springs ; HPE Innovation Hub
18/07/2020;Metro;2050;41;ProLiant Village ; Alletra City
19/07/2020;Bicicleta;774;18;Ezmeral Valley ; HPE Innovation Hub
20/07/2020;Coche Compartido;913;19;ProLiant Village ; Alletra City
21/07/2020;Autobús;2229;50;Apollo Heights ; Nimble Peak
22/07/2020;Metro;702;11;HPE Innovation Hub ; Composable Cloud
23/07/2020;Coche Compartido;4095;21;Alletra City ; ProLiant Village
24/07/2020;Autobús;1219;56;Composable Cloud ; Simplivity Springs
25/07/2020;Autobús;1472;27;Aruba Central ; Nimble Peak
26/07/2020;Coche Compartido;3318;22;Apollo Heights ; Nimble Peak
27/07/2020;Coche Compartido;1829;21;Aruba Central ; Nimble Peak
28/07/2020;Tranvía;1245;46;Aruba Central ; HPE Innovation Hub
29/07/2020;Tranvía;4906;59;Aruba Central ; Nimble Peak
30/07/2020;Tranvía;1247;60;GreenLake Shores ; HPE Innovation Hub
31/07/2020;Tranvía;3329;16;Simplivity Springs ; Alletra City
01/08/2020;Autobús;1344;43;ProLiant Village ; Composable Cloud
02/08/2020;Taxi;558;56;Simplivity Springs ; Composable Cloud
03/08/2020;Tranvía;1651;18;Ezmeral Valley ; Nimble Peak
04/08/2020;Autobús;835;43;GreenLake Shores ; Composable Cloud
05/08/2020;Taxi;2470;52;Apollo Heights ; Ezmeral Valley
06/08/2020;Autobús;1866;20;Aruba Central ; HPE Innovation Hub
07/08/2020;Coche Compartido;1922;42;Apollo Heights ; Aruba Central
08/08/2020;Autobús;1241;13;Ezmeral Valley ; Simplivity Springs
09/08/2020;Autobús;935;20;ProLiant Village ; Ezmeral Valley
10/08/2020;Taxi;2455;46;Simplivity Springs ; Composable Cloud
11/08/2020;Coche Compartido;2459;57;Simplivity Springs ; ProLiant Village
12/08/2020;Taxi;2112;35;Apollo Heights ; Alletra City
13/08/2020;Bicicleta;1261;57;Aruba Central ; Ezmeral Valley
14/08/2020;Coche Compartido;5051;38;Composable Cloud ; HPE Innovation Hub
15/08/2020;Bicicleta;1408;44;Aruba Central ; HPE Innovation Hub
16/08/2020;Coche Compartido;633;54;ProLiant Village ; Alletra City
17/08/2020;Tranvía;3101;19;ProLiant Village ; Aruba Central
18/08/2020;Taxi;1147;14;ProLiant Village ; Composable Cloud
19/08/2020;Autobús;2200;14;ProLiant Village ; Alletra City
20/08/2020;Coche Compartido;4828;51;Alletra City ; ProLiant Village
21/08/2020;Coche Compartido;3839;29;GreenLake Shores ; ProLiant Village
22/08/2020;Autobús;1031;53;GreenLake Shores ; Aruba Central
23/08/2020;Bicicleta;1016;46;HPE Innovation Hub ; Alletra City
24/08/2020;Metro;2360;18;Alletra City ; Composable Cloud
25/08/2020;Taxi;2143;58;Ezmeral Valley ; Composable Cloud
26/08/2020;Metro;2863;40;Simplivity Springs ; Aruba Central
27/08/2020;Bicicleta;4436;57;ProLiant Village ; Aruba Central
28/08/2020;Coche Compartido;1464;14;Nimble Peak ; Composable Cloud
29/08/2020;Bicicleta;1865;44;Ezmeral Valley ; Simplivity Springs
30/08/2020;Bicicleta;1900;25;Apollo Heights ; ProLiant Village
31/08/2020;Metro;947;29;Simplivity Springs ; Composable Cloud
01/09/2020;Taxi;3500;17;Nimble Peak ; ProLiant Village
02/09/2020;Autobús;1078;19;HPE Innovation Hub ; GreenLake Shores
03/09/2020;Autobús;2577;33;ProLiant Village ; GreenLake Shores
04/09/2020;Metro;1405;10;Aruba Central ; Composable Cloud
05/09/2020;Taxi;757;58;Nimble Peak ; Apollo Heights
06/09/2020;Bicicleta;608;38;ProLiant Village ; Composable Cloud
07/09/2020;Taxi;3492;38;Simplivity Springs ; Alletra City
08/09/2020;Autobús;1270;52;Apollo Heights ; Composable Cloud
09/09/2020;Taxi;2779;52;Ezmeral Valley ; Aruba Central
10/09/2020;Tranvía;1946;53;Apollo Heights ; Ezmeral Valley
11/09/2020;Autobús;3568;59;Alletra City ; Nimble Peak
12/09/2020;Coche Compartido;298;22;Apollo Heights ; Simplivity Springs
13/09/2020;Taxi;1069;44;Alletra City ; Aruba Central
14/09/2020;Autobús;1503;48;ProLiant Village ; Aruba Central
15/09/2020;Bicicleta;2377;51;Nimble Peak ; Simplivity Springs
16/09/2020;Taxi;3301;12;Simplivity Springs ; Composable Cloud
17/09/2020;Autobús;1570;60;Simplivity Springs ; ProLiant Village
18/09/2020;Coche Compartido;4416;28;Nimble Peak ; ProLiant Village
19/09/2020;Coche Compartido;451;20;Nimble Peak ; Apollo Heights
20/09/2020;Autobús;2370;59;Ezmeral Valley ; Alletra City
21/09/2020;Coche Compartido;2350;15;Ezmeral Valley ; Composable Cloud
22/09/2020;Metro;2508;37;Apollo Heights ; Composable Cloud
23/09/2020;Bicicleta;3950;28;GreenLake Shores ; Simplivity Springs
24/09/2020;Bicicleta;4425;35;Apollo Heights ; Aruba Central
25/09/2020;Bicicleta;4955;37;Simplivity Springs ; GreenLake Shores
26/09/2020;Autobús;1404;25;Composable Cloud ; Nimble Peak
27/09/2020;Autobús;1014;48;ProLiant Village ; Ezmeral Valley
28/09/2020;Bicicleta;2567;35;Aruba Central ; ProLiant Village
29/09/2020;Coche Compartido;1086;43;Nimble Peak ; ProLiant Village
30/09/2020;Tranvía;1898;37;Nimble Peak ; Ezmeral Valley
01/10/2020;Taxi;4091;45;Simplivity Springs ; Nimble Peak
02/10/2020;Metro;1500;20;Ezmeral Valley ; ProLiant Village
03/10/2020;Metro;660;28;HPE Innovation Hub ; Ezmeral Valley
04/10/2020;Metro;2563;16;Alletra City ; Ezmeral Valley
05/10/2020;Metro;1466;54;Composable Cloud ; Aruba Central
06/10/2020;Bicicleta;3582;17;Aruba Central ; GreenLake Shores
07/10/2020;Coche Compartido;1397;16;Simplivity Springs ; Nimble Peak
08/10/2020;Metro;2474;38;HPE Innovation Hub ; Aruba Central
09/10/2020;Taxi;1711;23;Aruba Central ; GreenLake Shores
10/10/2020;Bicicleta;1526;23;ProLiant Village ; Simplivity Springs
11/10/2020;Taxi;604;42;ProLiant Village ; Aruba Central
12/10/2020;Bicicleta;4026;21;GreenLake Shores ; HPE Innovation Hub
13/10/2020;Taxi;600;59;Ezmeral Valley ; Apollo Heights
14/10/2020;Bicicleta;2053;49;Aruba Central ; Alletra City
15/10/2020;Bicicleta;734;21;Alletra City ; Nimble Peak
16/10/2020;Taxi;4350;52;Ezmeral Valley ; Nimble Peak
17/10/2020;Bicicleta;545;13;Ezmeral Valley ; HPE Innovation Hub
18/10/2020;Metro;1153;57;Simplivity Springs ; GreenLake Shores
19/10/2020;Taxi;2849;16;ProLiant Village ; Apollo Heights
20/10/2020;Taxi;3259;40;Aruba Central ; Ezmeral Valley
21/10/2020;Bicicleta;1219;25;ProLiant Village ; Apollo Heights
22/10/2020;Metro;563;22;Composable Cloud ; Ezmeral Valley
23/10/2020;Metro;2936;38;Apollo Heights ; Composable Cloud
24/10/2020;Taxi;2038;30;GreenLake Shores ; ProLiant Village
25/10/2020;Autobús;1724;56;Alletra City ; Ezmeral Valley
26/10/2020;Autobús;5446;35;Composable Cloud ; Apollo Heights
27/10/2020;Taxi;1673;48;HPE Innovation Hub ; Nimble Peak
28/10/2020;Metro;5309;47;ProLiant Village ; Simplivity Springs
29/10/2020;Taxi;1537;40;Alletra City ; HPE Innovation Hub
30/10/2020;Taxi;2817;36;Aruba Central ; Apollo Heights
31/10/2020;Tranvía;897;48;Ezmeral Valley ; ProLiant Village
01/11/2020;Bicicleta;1593;54;Aruba Central ; Apollo Heights
02/11/2020;Coche Compartido;2362;42;Apollo Heights ; Simplivity Springs
03/11/2020;Metro;2877;39;Aruba Central ; HPE Innovation Hub
04/11/2020;Tranvía;5490;38;ProLiant Village ; Simplivity Springs
05/11/2020;Tranvía;2149;43;HPE Innovation Hub ; Aruba Central
06/11/2020;Tranvía;3083;45;GreenLake Shores ; ProLiant Village
07/11/2020;Taxi;707;24;Ezmeral Valley ; HPE Innovation Hub
08/11/2020;Metro;1115;26;Aruba Central ; Simplivity Springs
09/11/2020;Autobús;4008;24;Simplivity Springs ; Alletra City
10/11/2020;Taxi;2437;38;Nimble Peak ; Alletra City
11/11/2020;Autobús;1950;33;Nimble Peak ; HPE Innovation Hub
12/11/2020;Tranvía;3174;22;GreenLake Shores ; Aruba Central
13/11/2020;Autobús;1878;51;Ezmeral Valley ; Aruba Central
14/11/2020;Bicicleta;1029;25;Apollo Heights ; Simplivity Springs
15/11/2020;Taxi;1460;38;Apollo Heights ; Aruba Central
16/11/2020;Tranvía;2519;12;GreenLake Shores ; Apollo Heights
17/11/2020;Coche Compartido;5010;39;GreenLake Shores ; HPE Innovation Hub
18/11/2020;Tranvía;2549;20;Aruba Central ; Apollo Heights
19/11/2020;Autobús;2731;43;Aruba Central ; Alletra City
20/11/2020;Bicicleta;1091;56;Composable Cloud ; Alletra City
21/11/2020;Metro;2279;25;ProLiant Village ; Composable Cloud
22/11/2020;Autobús;374;53;GreenLake Shores ; ProLiant Village
23/11/2020;Metro;1256;18;Simplivity Springs ; Alletra City
24/11/2020;Bicicleta;3060;52;Ezmeral Valley ; HPE Innovation Hub
25/11/2020;Coche Compartido;1431;30;Nimble Peak ; ProLiant Village
26/11/2020;Metro;1580;58;Simplivity Springs ; HPE Innovation Hub
27/11/2020;Autobús;1067;39;Alletra City ; GreenLake Shores
28/11/2020;Autobús;2492;11;Alletra City ; Composable Cloud
29/11/2020;Bicicleta;828;26;Alletra City ; Composable Cloud
30/11/2020;Autobús;2197;34;GreenLake Shores ; Alletra City
01/12/2020;Bicicleta;3630;25;Alletra City ; GreenLake Shores
02/12/2020;Metro;953;54;Aruba Central ; HPE Innovation Hub
03/12/2020;Tranvía;3962;25;Nimble Peak ; Composable Cloud
04/12/2020;Autobús;1721;53;GreenLake Shores ; Ezmeral Valley
05/12/2020;Tranvía;1912;60;HPE Innovation Hub ; Simplivity Springs
06/12/2020;Tranvía;1474;52;Simplivity Springs ; Alletra City
07/12/2020;Tranvía;1970;12;Simplivity Springs ; GreenLake Shores
08/12/2020;Autobús;2440;22;Nimble Peak ; HPE Innovation Hub
09/12/2020;Coche Compartido;1335;17;Alletra City ; HPE Innovation Hub
10/12/2020;Bicicleta;820;12;Aruba Central ; Simplivity Springs
11/12/2020;Autobús;1180;11;Alletra City ; Simplivity Springs
12/12/2020;Autobús;1823;57;Nimble Peak ; Composable Cloud
13/12/2020;Coche Compartido;2740;29;HPE Innovation Hub ; Nimble Peak
14/12/2020;Taxi;2510;52;Aruba Central ; Ezmeral Valley
15/12/2020;Taxi;3105;34;HPE Innovation Hub ; Ezmeral Valley
16/12/2020;Bicicleta;4075;23;Simplivity Springs ; Aruba Central
17/12/2020;Bicicleta;1672;53;Apollo Heights ; GreenLake Shores
18/12/2020;Bicicleta;1460;12;Alletra City ; Apollo Heights
19/12/2020;Autobús;1108;19;Ezmeral Valley ; Apollo Heights
20/12/2020;Coche Compartido;1893;19;Ezmeral Valley ; Composable Cloud
21/12/2020;Metro;2460;24;Alletra City ; Simplivity Springs
22/12/2020;Bicicleta;2997;23;GreenLake Shores ; Nimble Peak
23/12/2020;Bicicleta;3763;43;Composable Cloud ; Aruba Central
24/12/2020;Taxi;1105;26;Simplivity Springs ; Aruba Central
25/12/2020;Taxi;3954;10;Alletra City ; Ezmeral Valley
26/12/2020;Taxi;2992;18;Composable Cloud ; Apollo Heights
27/12/2020;Bicicleta;2061;55;Simplivity Springs ; GreenLake Shores
28/12/2020;Coche Compartido;1936;28;Simplivity Springs ; Nimble Peak
29/12/2020;Bicicleta;4683;48;Apollo Heights ; Nimble Peak
30/12/2020;Taxi;3829;44;Aruba Central ; Nimble Peak
31/12/2020;Autobús;1795;45;Nimble Peak ; Apollo Heights
01/01/2021;Metro;1704;15;Simplivity Springs ; Composable Cloud
02/01/2021;Autobús;645;55;Aruba Central ; Composable Cloud
03/01/2021;Tranvía;802;33;HPE Innovation Hub ; Simplivity Springs
04/01/2021;Metro;1783;43;HPE Innovation Hub ; Aruba Central
05/01/2021;Coche Compartido;1655;12;Aruba Central ; ProLiant Village
06/01/2021;Tranvía;1206;36;Nimble Peak ; GreenLake Shores
07/01/2021;Autobús;2061;18;Alletra City ; Apollo Heights
08/01/2021;Autobús;1686;28;Alletra City ; Simplivity Springs
09/01/2021;Autobús;3075;22;HPE Innovation Hub ; Alletra City
10/01/2021;Metro;2692;49;HPE Innovation Hub ; Composable Cloud
11/01/2021;Autobús;2625;16;Alletra City ; Nimble Peak
12/01/2021;Autobús;3068;52;Alletra City ; HPE Innovation Hub
13/01/2021;Taxi;2269;17;Simplivity Springs ; HPE Innovation Hub
14/01/2021;Tranvía;1039;46;GreenLake Shores ; Composable Cloud
15/01/2021;Autobús;3601;53;HPE Innovation Hub ; Alletra City
16/01/2021;Taxi;649;44;Nimble Peak ; Ezmeral Valley
17/01/2021;Autobús;2223;48;Alletra City ; HPE Innovation Hub
18/01/2021;Bicicleta;3364;48;GreenLake Shores ; Apollo Heights
19/01/2021;Metro;1116;52;ProLiant Village ; HPE Innovation Hub
20/01/2021;Coche Compartido;2763;36;Nimble Peak ; Alletra City
21/01/2021;Tranvía;3942;54;Nimble Peak ; GreenLake Shores
22/01/2021;Autobús;1486;29;Simplivity Springs ; Composable Cloud
23/01/2021;Tranvía;2917;19;ProLiant Village ; GreenLake Shores
24/01/2021;Tranvía;1033;17;HPE Innovation Hub ; Ezmeral Valley
25/01/2021;Coche Compartido;3503;24;ProLiant Village ; Ezmeral Valley
26/01/2021;Bicicleta;2969;37;ProLiant Village ; GreenLake Shores
27/01/2021;Taxi;2814;50;Aruba Central ; HPE Innovation Hub
28/01/2021;Autobús;1598;14;Apollo Heights ; GreenLake Shores
29/01/2021;Taxi;2743;34;HPE Innovation Hub ; Composable Cloud
30/01/2021;Bicicleta;712;52;Composable Cloud ; Nimble Peak
31/01/2021;Metro;1923;47;Apollo Heights ; Aruba Central
01/02/2021;Autobús;1297;38;Nimble Peak ; ProLiant Village
02/02/2021;Taxi;3564;43;HPE Innovation Hub ; GreenLake Shores
03/02/2021;Metro;893;46;GreenLake Shores ; ProLiant Village
04/02/2021;Bicicleta;990;31;Composable Cloud ; Alletra City
05/02/2021;Tranvía;1785;25;Composable Cloud ; Alletra City
06/02/2021;Tranvía;653;10;Aruba Central ; Apollo Heights
07/02/2021;Tranvía;1595;58;ProLiant Village ; Alletra City
08/02/2021;Coche Compartido;1558;53;Alletra City ; Nimble Peak
09/02/2021;Taxi;5438;42;HPE Innovation Hub ; Composable Cloud
10/02/2021;Bicicleta;788;53;Alletra City ; Composable Cloud
11/02/2021;Tranvía;3697;13;Nimble Peak ; GreenLake Shores
12/02/2021;Bicicleta;2225;17;Simplivity Springs ; GreenLake Shores
13/02/2021;Coche Compartido;619;37;HPE Innovation Hub ; GreenLake Shores
14/02/2021;Coche Compartido;1031;30;Nimble Peak ; Simplivity Springs
15/02/2021;Bicicleta;2653;60;Composable Cloud ; Apollo Heights
16/02/2021;Autobús;3481;54;Alletra City ; Nimble Peak
17/02/2021;Bicicleta;841;16;Aruba Central ; Nimble Peak
18/02/2021;Metro;4708;43;Aruba Central ; Nimble Peak
19/02/2021;Taxi;1425;19;HPE Innovation Hub ; Composable Cloud
20/02/2021;Coche Compartido;1913;51;Ezmeral Valley ; Nimble Peak
21/02/2021;Tranvía;1915;27;Aruba Central ; ProLiant Village
22/02/2021;Bicicleta;3106;23;Alletra City ; ProLiant Village
23/02/2021;Tranvía;3314;48;Nimble Peak ; Aruba Central
